** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	21-Nov-2019-16E 20x20 100SSD G180 C180 Flat_Sym
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	21.122, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	70
Measured Cavity Dose:	

Date:	11/21/19	Time:	17:59:35
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004448151886
Dose Info:	6X       6X SAD d=10 10x10
Dose IDDC:	1573002810

Time:	12101

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
16.0	65	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.206286247583495	0.000000000000000	1.841510565962269	0.000000000000000	2.683887740817279	0.000000000000000	2.568795413639091	0.000000000000000	2.509432704486368	0.000000000000000	2.800179988000800	0.000000000000000	1.873275114992334	0.000000000000000	2.813679088060796	0.000000000000000	3.414605692953803	0.000000000000000	3.338210785947604	0.000000000000000	2.150889940670622	0.000000000000000	2.268048796746883	0.000000000000000	2.466602226518232	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.482401173255116	0.000000000000000	3.049530031331245	0.000000000000000	2.533964402373175	0.000000000000000	2.040297313512433	0.000000000000000	2.817145523631758	0.000000000000000	2.802379841343910	0.000000000000000	2.665755616292247	0.000000000000000	2.043797080194654	0.000000000000000	3.158756082927805	0.000000000000000	2.633291113925738	0.000000000000000	2.607826144923672	0.000000000000000	3.183354443037131	0.000000000000000	1.967035530964602	0.000000000000000	1.946403573095127	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.519965335644291	0.000000000000000	2.762582494500367	0.000000000000000	2.237084194387041	0.000000000000000	2.231651223251783	0.000000000000000	2.109292713819079	0.000000000000000	2.938604093060463	0.000000000000000	2.718918738750750	0.000000000000000	2.622158522765149	0.000000000000000	2.938437437504166	0.000000000000000	3.018965402306513	0.000000000000000	2.522198520098660	0.000000000000000	2.829511365908939	0.000000000000000	1.930671288580761	0.000000000000000	2.292447170188654	0.000000000000000	2.266015598960069	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.687420838610759	0.000000000000000	2.347576828211452	0.000000000000000	2.403239784014399	0.000000000000000	1.783447770148657	0.000000000000000	2.646390240650623	0.000000000000000	2.709552696486901	0.000000000000000	2.529164722351843	0.000000000000000	2.166155589627358	0.000000000000000	2.094193720418639	0.000000000000000	1.732984467702153	0.000000000000000	2.922005199653356	0.000000000000000	2.320211985867609	0.000000000000000	2.742283847743484	0.000000000000000	1.686354243050463	0.000000000000000	2.655022998466769	0.000000000000000	2.421205252983134	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.734784347710153	0.000000000000000	2.939337377508166	0.000000000000000	2.642857142857143	0.000000000000000	2.584294380374642	0.000000000000000	2.454036397573495	0.000000000000000	2.441670555296314	0.000000000000000	2.578128124791681	0.000000000000000	2.139090727284848	0.000000000000000	1.882441170588627	0.000000000000000	1.791047263515766	0.000000000000000	1.837610825944937	0.000000000000000	2.412539164055730	0.000000000000000	3.136624225051663	0.000000000000000	3.561395906939537	0.000000000000000	2.488500766615559	0.000000000000000	2.261849210052663	0.000000000000000	2.869142057196187	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.469135390973935	0.000000000000000	2.122491833877742	0.000000000000000	2.152423171788548	0.000000000000000	2.872641823878408	0.000000000000000	2.294147056862876	0.000000000000000	2.255382974468369	0.000000000000000	2.292747150189987	0.000000000000000	2.436070928604760	0.000000000000000	1.733117792147190	0.000000000000000	2.555696286914206	0.000000000000000	2.398206786214252	0.000000000000000	2.992067195520299	0.000000000000000	3.237350843277115	0.000000000000000	3.285714285714286	0.000000000000000	2.212352509832678	0.000000000000000	2.927871475234984	0.000000000000000	2.841243917072195	0.000000000000000	2.186354243050463	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.602493167122192	0.000000000000000	2.648523431771215	0.000000000000000	3.047230184654357	0.000000000000000	2.937170855276315	0.000000000000000	2.889640690620625	0.000000000000000	2.468335444303713	0.000000000000000	2.568395440303980	0.000000000000000	2.859076061595894	0.000000000000000	2.736217585494300	0.000000000000000	1.906172921805213	0.000000000000000	2.934337710819279	0.000000000000000	2.093527098193454	0.000000000000000	1.856442903806413	0.000000000000000	2.406406239584028	0.000000000000000	3.051963202453170	0.000000000000000	2.272381841210586	0.000000000000000	2.614259049396707	0.000000000000000	2.589360709286048	0.000000000000000	2.695886940870609	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.656756216252250	0.000000000000000	2.399206719552030	0.000000000000000	2.173321778548097	0.000000000000000	3.070528631424572	0.000000000000000	2.339944003733085	0.000000000000000	2.657122858476102	0.000000000000000	2.706219585360976	0.000000000000000	2.160389307379508	0.000000000000000	2.524565028998067	0.000000000000000	2.315412305846277	0.000000000000000	2.613625758282781	0.000000000000000	1.854243050463303	0.000000000000000	2.121658556096260	0.000000000000000	2.933371108592760	0.000000000000000	3.012565828944737	0.000000000000000	2.524798346776882	0.000000000000000	3.308012799146724	0.000000000000000	2.522531831211253	0.000000000000000	2.672455169655356	0.000000000000000	2.522231851209920	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.803179788014132	0.000000000000000	2.280747950136658	0.000000000000000	2.600793280447970	0.000000000000000	2.659922671821878	0.000000000000000	2.994633691087261	0.000000000000000	3.503966402239851	0.000000000000000	3.131924538364109	0.000000000000000	2.493433771081928	0.000000000000000	2.218618758749417	0.000000000000000	2.332144523698420	0.000000000000000	3.199753349776682	0.000000000000000	2.621691887207520	0.000000000000000	3.223785080994600	0.000000000000000	3.505766282247850	0.000000000000000	2.477668155456303	0.000000000000000	2.318145456969535	0.000000000000000	2.751149923338444	0.000000000000000	2.435837610825945	0.000000000000000	2.103459769348710	0.000000000000000	2.104593027131525	0.000000000000000	2.262682487834144	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.945736950869942	0.000000000000000	2.094560362642491	0.000000000000000	1.885240983934404	0.000000000000000	2.179854676354910	0.000000000000000	2.849376708219452	0.000000000000000	3.299180054663022	0.000000000000000	2.326644890340644	0.000000000000000	3.596626891540564	0.000000000000000	2.721485234317712	0.000000000000000	2.166455569628691	0.000000000000000	1.931237917472169	0.000000000000000	2.643957069528698	0.000000000000000	2.531531231251250	0.000000000000000	2.647256849543364	0.000000000000000	1.952269848676755	0.000000000000000	2.642357176188254	0.000000000000000	2.701986534231051	0.000000000000000	2.690220651956536	0.000000000000000	2.841943870408639	0.000000000000000	3.095893607092861	0.000000000000000	1.918738750749950	0.000000000000000	1.894540363975735	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
