** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	21-Nov-2019-18x 20x20 MapPhan G180 C180 Flat_Sym
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	21.122, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	70
Measured Cavity Dose:	

Date:	11/21/19	Time:	17:52:30
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004448151886
Dose Info:	6X       6X SAD d=10 10x10
Dose IDDC:	1573002810

Time:	11051

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
16.0	65	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.200646602006466	0.000000000000000	1.835416458354165	0.000000000000000	2.676998966769990	0.000000000000000	2.564210245642102	0.000000000000000	2.507849215078492	0.000000000000000	2.794753857947538	0.000000000000000	1.869346398693464	0.000000000000000	2.809219078092191	0.000000000000000	3.409192414091924	0.000000000000000	3.341899143418992	0.000000000000000	2.144185581441856	0.000000000000000	2.266006732660067	0.000000000000000	2.470452954704530	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.474419224744192	0.000000000000000	3.044695530446955	0.000000000000000	2.530513615305136	0.000000000000000	2.030830250308302	0.000000000000000	2.816285038162850	0.000000000000000	2.796786987967870	0.000000000000000	2.660800586608006	0.000000000000000	2.039929340399294	0.000000000000000	3.156051061560511	0.000000000000000	2.632336766323368	0.000000000000000	2.604172916041729	0.000000000000000	3.182815051828150	0.000000000000000	1.965903409659034	0.000000000000000	1.944538879445389	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.512048795120488	0.000000000000000	2.755524447555244	0.000000000000000	2.233543312335433	0.000000000000000	2.226843982268440	0.000000000000000	2.106989301069893	0.000000000000000	2.938272839382728	0.000000000000000	2.716928307169283	0.000000000000000	2.616971636169716	0.000000000000000	2.937639569376396	0.000000000000000	3.016298370162984	0.000000000000000	2.520781255207813	0.000000000000000	2.825284138252842	0.000000000000000	1.928640469286405	0.000000000000000	2.292237442922374	0.000000000000000	2.261340532613406	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.681765156817651	0.000000000000000	2.341499183414992	0.000000000000000	2.399526713995267	0.000000000000000	1.773455987734560	0.000000000000000	2.640802586408026	0.000000000000000	2.707329267073292	0.000000000000000	2.527013965270140	0.000000000000000	2.161717161617172	0.000000000000000	2.088724460887244	0.000000000000000	1.729493717294937	0.000000000000000	2.916674999166750	0.000000000000000	2.320134653201347	0.000000000000000	2.739859347398593	0.000000000000000	1.683731626837316	0.000000000000000	2.653467986534680	0.000000000000000	2.419791354197914	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.733559977335600	0.000000000000000	2.934239909342399	0.000000000000000	2.639269406392694	0.000000000000000	2.581308535813085	0.000000000000000	2.450521614505216	0.000000000000000	2.438989434389894	0.000000000000000	2.575242475752425	0.000000000000000	2.136686331366863	0.000000000000000	1.877978868779789	0.000000000000000	1.789054427890544	0.000000000000000	1.834416558344166	0.000000000000000	2.408925774089258	0.000000000000000	3.133886611338866	0.000000000000000	3.559177415591774	0.000000000000000	2.485184814851848	0.000000000000000	2.259607372596074	0.000000000000000	2.867879878678799	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.462320434623204	0.000000000000000	2.119554711195547	0.000000000000000	2.145785421457854	0.000000000000000	2.867679898676799	0.000000000000000	2.289171082891711	0.000000000000000	2.249975002499750	0.000000000000000	2.287971202879712	0.000000000000000	2.433989934339899	0.000000000000000	1.728793787287938	0.000000000000000	2.551711495517115	0.000000000000000	2.392960703929607	0.000000000000000	2.986234709862347	0.000000000000000	3.231010232310102	0.000000000000000	3.285638102856381	0.000000000000000	2.209112422091124	0.000000000000000	2.926807319268073	0.000000000000000	2.839116088391161	0.000000000000000	2.182848381828484	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.598073525980735	0.000000000000000	2.644735526447355	0.000000000000000	3.041662500416625	0.000000000000000	2.934206579342066	0.000000000000000	2.887111288871113	0.000000000000000	2.464686864646869	0.000000000000000	2.570709595707096	0.000000000000000	2.856680998566810	0.000000000000000	2.732426757324268	0.000000000000000	1.901676499016765	0.000000000000000	2.929873679298737	0.000000000000000	2.090890910908909	0.000000000000000	1.853981268539813	0.000000000000000	2.404592874045929	0.000000000000000	3.049695030496950	0.000000000000000	2.270639602706396	0.000000000000000	2.612305436123054	0.000000000000000	2.586308035863080	0.000000000000000	2.693930606939306	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.650868246508682	0.000000000000000	2.394127253941273	0.000000000000000	2.168083191680832	0.000000000000000	3.061960470619605	0.000000000000000	2.333200013332000	0.000000000000000	2.648701796487018	0.000000000000000	2.701996467019965	0.000000000000000	2.156917641569176	0.000000000000000	2.520847915208479	0.000000000000000	2.310002333100023	0.000000000000000	2.608405826084058	0.000000000000000	1.847581908475819	0.000000000000000	2.115088491150885	0.000000000000000	2.927673899276739	0.000000000000000	3.010632270106323	0.000000000000000	2.524014265240142	0.000000000000000	3.307035963070360	0.000000000000000	2.520147985201480	0.000000000000000	2.671599506715995	0.000000000000000	2.516548345165484	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.799186747991867	0.000000000000000	2.276139052761391	0.000000000000000	2.595673765956738	0.000000000000000	2.652801386528014	0.000000000000000	2.993500649935006	0.000000000000000	3.507282605072826	0.000000000000000	3.129887011298870	0.000000000000000	2.491317534913176	0.000000000000000	2.216345032163450	0.000000000000000	2.329567043295671	0.000000000000000	3.194280571942806	0.000000000000000	2.619038096190381	0.000000000000000	3.222111122221111	0.000000000000000	3.500949905009499	0.000000000000000	2.475352464753525	0.000000000000000	2.315901743159018	0.000000000000000	2.749491717494917	0.000000000000000	2.434889844348898	0.000000000000000	2.101489851014898	0.000000000000000	2.102889711028897	0.000000000000000	2.260207312602073	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.939506049395061	0.000000000000000	2.089624370896244	0.000000000000000	1.880545278805453	0.000000000000000	2.175682431756824	0.000000000000000	2.845448788454488	0.000000000000000	3.288204512882045	0.000000000000000	2.319034763190348	0.000000000000000	3.593507315935073	0.000000000000000	2.717828217178282	0.000000000000000	2.161383861613839	0.000000000000000	1.926607339266073	0.000000000000000	2.639069426390694	0.000000000000000	2.525580775255808	0.000000000000000	2.643468986434690	0.000000000000000	1.946905309469053	0.000000000000000	2.640369296403693	0.000000000000000	2.700496617004966	0.000000000000000	2.688631136886311	0.000000000000000	2.839616038396160	0.000000000000000	3.094757190947572	0.000000000000000	1.916841649168417	0.000000000000000	1.891877478918775	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
