** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	6e
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	21.822, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	80
Measured Cavity Dose:	

Date:	02/28/20	Time:	16:14:21
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004753178196
Dose Info:	6e       20cone 100mu 100ssd
Dose IDDC:	1558467791

Time:	11050

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
16.0	65	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.542159407749255	0.000000000000000	2.095183155465821	0.000000000000000	3.074704355350447	0.000000000000000	2.936961189629202	0.000000000000000	2.891645034131333	0.000000000000000	3.218857161170400	0.000000000000000	2.166234015960004	0.000000000000000	3.218408486363491	0.000000000000000	3.881421658173894	0.000000000000000	3.812293689709323	0.000000000000000	2.458641797263084	0.000000000000000	2.584046405794314	0.000000000000000	2.832387911418774	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.827708874146717	0.000000000000000	3.475723488126142	0.000000000000000	2.907220459571195	0.000000000000000	2.334807550556036	0.000000000000000	3.232221260776207	0.000000000000000	3.231195718360414	0.000000000000000	3.058263628497260	0.000000000000000	2.350222734993430	0.000000000000000	3.592571227125597	0.000000000000000	3.002531807838990	0.000000000000000	2.976444572637246	0.000000000000000	3.628144729673429	0.000000000000000	2.256898375156235	0.000000000000000	2.229401019132776	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.869820209595231	0.000000000000000	3.155305579591706	0.000000000000000	2.553536518924462	0.000000000000000	2.553216036919527	0.000000000000000	2.415280581995321	0.000000000000000	3.361567797968144	0.000000000000000	3.109060026279524	0.000000000000000	3.010800243566324	0.000000000000000	3.378457199628241	0.000000000000000	3.478063006762171	0.000000000000000	2.877127199307759	0.000000000000000	3.232028971573246	0.000000000000000	2.221773547415312	0.000000000000000	2.640835817068872	0.000000000000000	2.590423997692529	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.965003365061052	0.000000000000000	2.685158478351441	0.000000000000000	2.766753196807999	0.000000000000000	2.040701214626799	0.000000000000000	3.014902413229497	0.000000000000000	3.126045572541102	0.000000000000000	2.894593468576740	0.000000000000000	2.487453129506778	0.000000000000000	2.403390699612217	0.000000000000000	2.029548440855046	0.000000000000000	3.327853091048937	0.000000000000000	2.648559433387815	0.000000000000000	3.130596417011185	0.000000000000000	1.933692273178861	0.000000000000000	3.040797359228280	0.000000000000000	2.784027176874019	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.115373521776752	0.000000000000000	3.359324423933596	0.000000000000000	3.007242893311540	0.000000000000000	2.954299266096209	0.000000000000000	2.792007178796911	0.000000000000000	2.798929590103516	0.000000000000000	2.937281671634138	0.000000000000000	2.436079864115630	0.000000000000000	2.153158350158638	0.000000000000000	2.056500977470115	0.000000000000000	2.125757138736660	0.000000000000000	2.766208377399609	0.000000000000000	3.581194115950389	0.000000000000000	4.075345319360318	0.000000000000000	2.855590808576098	0.000000000000000	2.604621350511169	0.000000000000000	3.312085376406115	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.807133929429863	0.000000000000000	2.454123000993494	0.000000000000000	2.449123481716502	0.000000000000000	3.274044162420280	0.000000000000000	2.648014613979425	0.000000000000000	2.579175079319296	0.000000000000000	2.641252443675288	0.000000000000000	2.803031759766689	0.000000000000000	1.994359516713136	0.000000000000000	2.919591064961702	0.000000000000000	2.749383072140499	0.000000000000000	3.400858891773227	0.000000000000000	3.689741371022017	0.000000000000000	3.754478736018973	0.000000000000000	2.534051213024389	0.000000000000000	3.363330448995289	0.000000000000000	3.249783674646669	0.000000000000000	2.499150722686921	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.001378072621222	0.000000000000000	3.054898567445438	0.000000000000000	3.480338428997212	0.000000000000000	3.346152613530750	0.000000000000000	3.298368746594879	0.000000000000000	2.806653206422459	0.000000000000000	2.938307214049931	0.000000000000000	3.254526808319713	0.000000000000000	3.112777617536775	0.000000000000000	2.188251129699067	0.000000000000000	3.350415024196391	0.000000000000000	2.389097202192097	0.000000000000000	2.146075697849566	0.000000000000000	2.772425728295356	0.000000000000000	3.497740601865205	0.000000000000000	2.602602313880076	0.000000000000000	2.985866743582348	0.000000000000000	2.973560234592828	0.000000000000000	3.071563631702080	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.026375669006185	0.000000000000000	2.738454635772201	0.000000000000000	2.474345415504919	0.000000000000000	3.489760599942313	0.000000000000000	2.671089318334776	0.000000000000000	3.045957119507740	0.000000000000000	3.123898343108034	0.000000000000000	2.525430247091626	0.000000000000000	2.888760696086915	0.000000000000000	2.655642085696888	0.000000000000000	2.996442649745217	0.000000000000000	2.132967983847707	0.000000000000000	2.435438900105759	0.000000000000000	3.366310931641189	0.000000000000000	3.438771912957087	0.000000000000000	2.903727205717399	0.000000000000000	3.787776816331763	0.000000000000000	2.887286478864212	0.000000000000000	3.077396404191905	0.000000000000000	2.883472743005480	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.202768964522642	0.000000000000000	2.612793641637022	0.000000000000000	2.975162644617505	0.000000000000000	3.027240970419511	0.000000000000000	3.419767330064417	0.000000000000000	4.000288433804442	0.000000000000000	3.568663269557415	0.000000000000000	2.862385027080729	0.000000000000000	2.530557959170593	0.000000000000000	2.654520398679614	0.000000000000000	3.670672691728360	0.000000000000000	2.993462167099318	0.000000000000000	3.680575585680864	0.000000000000000	4.004807230074031	0.000000000000000	2.855622856776592	0.000000000000000	2.645418709739448	0.000000000000000	3.140819792968625	0.000000000000000	2.812806460917220	0.000000000000000	2.421401788289588	0.000000000000000	2.410954074928693	0.000000000000000	2.581578694356312	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.356119603884242	0.000000000000000	2.393103227253790	0.000000000000000	2.160978111079063	0.000000000000000	2.524821331282249	0.000000000000000	3.270102233759574	0.000000000000000	3.758324520078197	0.000000000000000	2.648206903182386	0.000000000000000	4.132871839246226	0.000000000000000	3.123609909303593	0.000000000000000	2.494599878216838	0.000000000000000	2.221837643816300	0.000000000000000	3.047783866935871	0.000000000000000	2.896035637598949	0.000000000000000	3.014581931224562	0.000000000000000	2.221388969009390	0.000000000000000	3.015895907444797	0.000000000000000	3.109829183091370	0.000000000000000	3.086818575137006	0.000000000000000	3.251995000480723	0.000000000000000	3.547511457231677	0.000000000000000	2.194147998589879	0.000000000000000	2.166490401563952	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.839438515527353	0.000000000000000	3.045412300099350	0.000000000000000	2.982533730731019	0.000000000000000	2.913245521263981	0.000000000000000	2.950485530237477	0.000000000000000	3.070345800083325	0.000000000000000	3.003172771848861	0.000000000000000	2.667916546485915	0.000000000000000	2.675383777200910	0.000000000000000	3.314809473448066	0.000000000000000	2.267057654712688	0.000000000000000	1.907316604172676	0.000000000000000	2.999519276992597	0.000000000000000	2.750056084350864	0.000000000000000	3.672851969361920	0.000000000000000	3.253821747908855	0.000000000000000	2.817165016184341	0.000000000000000	2.777681633176297	0.000000000000000	3.015222895234432	0.000000000000000	3.119155209434990	0.000000000000000	2.498605903278531	0.000000000000000	3.304457904688652	0.000000000000000	3.344005384097683	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	2.421177450886133	0.000000000000000	2.693266673076307	0.000000000000000	3.166971124571355	0.000000000000000	2.611639906419255	0.000000000000000	2.225651379675031	0.000000000000000	2.737012466749992	0.000000000000000	2.920808896580457	0.000000000000000	3.977406018652053	0.000000000000000	3.070986764093196	0.000000000000000	2.524340608274845	0.000000000000000	4.105182194019806	0.000000000000000	2.525302054289652	0.000000000000000	3.553216036919527	0.000000000000000	1.949844566227606	0.000000000000000	3.268147293529468	0.000000000000000	3.626798705252700	0.000000000000000	2.972342402974073	0.000000000000000	3.084927731307887	0.000000000000000	2.151940518539884	0.000000000000000	2.468448546614108	0.000000000000000	2.005063615677980	0.000000000000000	2.886132743646444	0.000000000000000	2.575297247059578	0.000000000000000	2.838541165913534	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	1.996827228151139	0.000000000000000	3.897317565618691	0.000000000000000	3.101112072557126	0.000000000000000	2.515303015735666	0.000000000000000	2.997147710156075	0.000000000000000	3.756722110053520	0.000000000000000	2.762651027144826	0.000000000000000	3.399000096144602	0.000000000000000	3.006473736499696	0.000000000000000	2.550171457872640	0.000000000000000	4.199147517866872	0.000000000000000	3.274781271031632	0.000000000000000	3.129250392590456	0.000000000000000	3.094125564849534	0.000000000000000	3.959234688972214	0.000000000000000	2.701919687209563	0.000000000000000	2.732910297086819	0.000000000000000	3.007114700509566	0.000000000000000	2.924430343236227	0.000000000000000	2.617761112713521	0.000000000000000	2.792007178796911	0.000000000000000	3.522097234240297	0.000000000000000	2.370349004903375	0.000000000000000	2.839758997532289	0.000000000000000	2.446014806268628	0.000000000000000	0.000000000000000
