machine,date,energy,Flat_X,Sym_X,Flat_Y,Sym_Y,OAR_X(-6.0),OAR_X(-3.0),OAR_X(3.0),OAR_X(6.0),OAR_Y(-6.0),OAR_Y(-3.0),OAR_Y(3.0),OAR_Y(6.0),Flat_X_dif,Sym_X_dif,Flat_Y_dif,Sym_Y_dif,%dif OAR_X(-6.0),%dif OAR_X(-3.0),%dif OAR_X(3.0),%dif OAR_X(6.0),%dif OAR_Y(-6.0),%dif OAR_Y(-3.0),%dif OAR_Y(3.0),%dif OAR_Y(6.0)
EX,2020-01,0006X,3.03,0.54,2.25,0.16,1.037,1.019,1.009,1.025,1.022,1.008,1.010,1.028,0.59,0.05,0.46,0.1,0.67,0.25,0.14,0.56,0.3,0.03,0.25,0.57, 
 EX,2020-01,0018X,2.82,1.02,1.92,0.26,1.035,1.032,1.002,1.018,1.018,1.013,1.018,1.025,0.14,0.03,0.3,0.25,-0.06,-0.12,-0.44,0.03,-0.64,-0.35,0.05,-0.03, 
 EX,2020-08,0006E,2.33,-0.17,2.49,0.25,0.989,1.000,1.004,0.993,0.987,1.000,1.004,0.996,0.16,-0.06,0.22,0.03,-0.13,-0.16,-0.0,0.04,-0.21,-0.03,-0.02,-0.15, 
 EX,2020-08,0006X,2.44,0.51,1.86,0.22,1.029,1.017,1.007,1.019,1.016,1.006,1.009,1.024,0.0,0.02,0.07,0.16,-0.05,0.01,-0.03,-0.04,-0.3,-0.15,0.15,0.16, 
 EX,2020-08,0009E,1.54,0.19,1.17,0.17,1.012,1.002,0.992,1.011,1.004,1.000,0.999,1.009,-0.38,-0.07,-0.29,-0.01,-0.15,-0.07,0.01,-0.02,-0.25,-0.06,-0.12,-0.23, 
 EX,2020-08,0012E,1.73,0.02,0.99,0.01,1.005,0.999,0.992,1.011,1.004,0.999,0.995,1.006,-0.77,-0.15,-1.23,-0.01,-0.8,-0.1,0.0,-0.33,-0.74,-0.06,-0.07,-0.66, 
 EX,2020-08,0016E,1.7,0.08,1.05,-0.01,1.001,0.994,0.988,1.004,1.000,0.996,0.990,1.002,-0.91,-0.15,-1.22,-0.04,-0.55,-0.14,0.0,-0.19,-0.51,-0.13,-0.12,-0.47, 
 EX,2020-08,0018X,2.81,1.1,2.03,0.45,1.035,1.033,1.000,1.017,1.018,1.011,1.022,1.028,0.13,0.11,0.41,0.44,-0.07,0.02,-0.58,-0.07,-0.68,-0.56,0.37,0.24, 
 EX,2020-08,0020E,1.28,-0.15,1.75,-0.01,0.977,0.983,0.980,0.987,0.979,0.986,0.981,0.982,-0.62,-0.23,-0.35,-0.14,-0.67,-0.18,0.08,-0.08,-0.39,-0.02,-0.13,-0.58, 
 EX,2020-11,0006E,2.44,-0.19,2.7,0.34,0.990,1.001,1.005,0.994,0.987,1.000,1.005,0.998,0.27,-0.08,0.43,0.12,-0.1,-0.08,0.12,0.15,-0.28,-0.06,0.05,0.02, 
 EX,2020-11,0006X,1.96,0.52,1.32,-0.02,1.027,1.016,1.006,1.016,1.017,1.008,1.006,1.018,-0.48,0.03,-0.47,-0.08,-0.28,-0.03,-0.09,-0.39,-0.23,0.03,-0.08,-0.42, 
 EX,2020-11,0009E,1.46,0.25,1.34,0.22,1.013,1.003,0.992,1.011,1.003,1.000,1.000,1.010,-0.46,-0.01,-0.12,0.04,-0.09,-0.05,-0.03,-0.1,-0.33,-0.07,-0.07,-0.17, 
 EX,2020-11,0012E,1.85,0.18,1.26,0.05,1.012,1.000,0.992,1.013,1.007,0.999,0.996,1.010,-0.65,0.01,-0.96,0.03,-0.09,0.02,-0.04,-0.15,-0.44,-0.12,-0.02,-0.24, 
 EX,2020-11,0016E,1.72,0.02,1.12,0.02,1.001,0.994,0.989,1.006,1.000,0.996,0.991,1.003,-0.89,-0.21,-1.15,-0.01,-0.57,-0.13,0.11,-0.04,-0.49,-0.08,-0.08,-0.37, 
 EX,2020-11,0018X,2.64,1.12,1.77,0.13,1.036,1.033,1.001,1.017,1.021,1.015,1.017,1.025,-0.04,0.13,0.15,0.12,0.04,0.03,-0.53,-0.11,-0.32,-0.13,-0.06,-0.01, 
 EX,2020-11,0020E,1.24,-0.09,1.83,0.04,0.978,0.983,0.980,0.986,0.978,0.986,0.981,0.982,-0.66,-0.17,-0.27,-0.09,-0.62,-0.12,0.05,-0.24,-0.49,-0.07,-0.08,-0.61, 
 
