machine,date,energy,Flat_X,Sym_X,Flat_Y,Sym_Y,OAR_X(-6.0),OAR_X(-3.0),OAR_X(3.0),OAR_X(6.0),OAR_Y(-6.0),OAR_Y(-3.0),OAR_Y(3.0),OAR_Y(6.0),Flat_X_dif,Sym_X_dif,Flat_Y_dif,Sym_Y_dif,%dif OAR_X(-6.0),%dif OAR_X(-3.0),%dif OAR_X(3.0),%dif OAR_X(6.0),%dif OAR_Y(-6.0),%dif OAR_Y(-3.0),%dif OAR_Y(3.0),%dif OAR_Y(6.0)
IX,2019-12,0006E,1.94,-0.26,2.63,-0.55,0.996,1.003,1.010,1.003,1.010,1.004,1.005,0.993,0.16,0.12,-0.15,0.08,-0.01,0.0,-0.13,-0.3,-0.22,-0.14,0.01,0.12, 
 IX,2019-12,0006X,1.33,-0.04,1.29,-0.28,1.025,1.013,1.014,1.024,1.024,1.015,1.011,1.016,-0.04,-0.03,0.01,-0.06,-0.14,-0.05,-0.02,0.09,0.09,0.04,-0.21,0.0, 
 IX,2019-12,0009E,0.77,-0.23,1.83,-0.48,1.005,1.004,1.010,1.009,1.014,1.004,1.007,0.997,0.08,0.03,-0.11,0.06,-0.11,-0.05,-0.04,-0.21,-0.25,-0.09,-0.1,0.03, 
 IX,2019-12,0012E,1.08,-0.42,1.33,0.11,0.994,0.997,1.006,1.003,0.998,0.995,1.006,0.998,0.1,0.0,0.06,0.03,-0.21,-0.06,-0.04,-0.3,-0.23,-0.11,-0.08,-0.13, 
 IX,2019-12,0016E,1.2,-0.48,1.05,-0.06,0.991,0.992,1.003,1.001,1.001,0.993,1.000,0.995,0.09,0.02,0.05,0.08,-0.41,-0.05,-0.1,-0.45,-0.49,-0.19,-0.06,-0.23, 
 IX,2019-12,0018X,1.86,0.26,1.76,-0.03,1.038,1.029,1.021,1.032,1.032,1.023,1.027,1.030,-0.04,-0.04,-0.04,-0.01,-0.08,-0.06,-0.08,0.12,-0.04,0.0,-0.11,0.03, 
 IX,2019-12,0020E,1.79,-0.44,2.55,0.04,0.972,0.980,0.992,0.980,0.978,0.982,0.989,0.976,0.08,0.07,0.4,0.07,-0.33,-0.07,-0.12,-0.59,-0.51,-0.15,-0.05,-0.25, 
 IX,2019-12,0020E,1.77,-0.41,2.47,-0.01,0.972,0.981,0.992,0.980,0.979,0.983,0.989,0.975,0.06,0.1,0.32,0.02,-0.28,0.06,-0.09,-0.6,-0.38,-0.08,-0.03,-0.32, 
 IX,2020-01,0006E,1.82,-0.28,2.91,-0.74,0.995,1.003,1.010,1.003,1.015,1.006,1.002,0.991,0.04,0.1,0.13,-0.11,-0.1,0.02,-0.21,-0.24,0.21,-0.01,-0.25,-0.05, 
 IX,2020-01,0006X,1.33,0.01,1.43,-0.38,1.025,1.013,1.013,1.023,1.026,1.015,1.010,1.014,-0.04,0.02,0.15,-0.16,-0.09,-0.1,-0.15,-0.02,0.27,0.05,-0.36,-0.26, 
 IX,2020-01,0009E,0.72,-0.26,1.95,-0.57,1.003,1.002,1.009,1.009,1.016,1.004,1.005,0.995,0.03,0.0,0.01,-0.03,-0.24,-0.2,-0.14,-0.24,-0.13,-0.11,-0.33,-0.17, 
 IX,2020-01,0012E,1.02,-0.42,1.26,0.03,0.994,0.995,1.005,1.003,0.999,0.995,1.004,0.996,0.04,0.0,-0.01,-0.05,-0.24,-0.18,-0.13,-0.28,-0.13,-0.08,-0.27,-0.29, 
 IX,2020-01,0016E,1.19,-0.46,1.19,-0.14,0.990,0.990,1.002,1.000,0.998,0.993,0.998,0.992,0.08,0.04,0.19,0.0,-0.54,-0.17,-0.23,-0.62,-0.72,-0.18,-0.34,-0.59, 
 IX,2020-01,0018X,1.89,0.23,1.9,-0.26,1.037,1.028,1.022,1.032,1.036,1.025,1.024,1.027,-0.01,-0.07,0.1,-0.24,-0.12,-0.19,0.01,0.09,0.3,0.21,-0.37,-0.26, 
 IX,2020-01,0020E,1.8,-0.5,2.35,-0.09,0.971,0.980,0.993,0.981,0.981,0.983,0.988,0.974,0.09,0.01,0.2,-0.06,-0.37,-0.06,-0.01,-0.48,-0.21,-0.1,-0.2,-0.43, 
 IX,2020-02,0006E,1.86,-0.33,2.74,-0.63,0.995,1.002,1.010,1.003,1.012,1.004,1.004,0.991,0.08,0.05,-0.04,0.0,-0.16,-0.09,-0.18,-0.26,-0.08,-0.17,-0.14,-0.03, 
 IX,2020-02,0006X,1.36,0.01,1.26,-0.22,1.026,1.013,1.014,1.023,1.023,1.014,1.013,1.017,-0.01,0.02,-0.02,0.0,-0.03,-0.04,-0.02,0.01,0.0,-0.07,-0.1,0.05, 
